Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Algeria,Algeria 1.2.1,7.435169661,37.03215917,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.435169661,36.99789012,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.31499933,36.99103446,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.24633057,36.92244385,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.203412594,36.90185462,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.057491478,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.997406313,36.84005359,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.894403172,36.86752689,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.791400032,36.89499031,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.748482056,36.90871831,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.654062511,36.92244385,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.61972813,36.93616691,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.542475775,36.97732128,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.482390609,37.00474517,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.405138254,37.0115996,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.370803874,37.0115996,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.345053089,36.95674688,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.302135113,36.89499031,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.284967923,36.88125983,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.216299163,36.86752689,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.164797592,36.86752689,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.096128832,36.84005359,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.078961642,36.84005359,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,6.070378047,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.993125691,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.89012255,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.795703005,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.76995222,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.76995222,36.80569809,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.692699864,36.75757449,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.666949079,36.74381934,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.641198294,36.71630164,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.615447509,36.6750066,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.546778748,36.60613226,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.357939657,36.57856529,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.357939657,36.57856529,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.263520111,36.59924144,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.09184821,36.6750066,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.083264615,36.68877407,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.066097425,36.74381934,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.980261474,36.79195158,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.894425524,36.82631325,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.825756763,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.748504408,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.611166887,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.448078581,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.29357387,36.86752689,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.053233208,36.88125983,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.993148043,36.88125983,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.967397258,36.87439367,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.778558166,36.86752689,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.666971431,36.82631325,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.666971431,36.82631325,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.58113548,36.77132717,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.572551885,36.77132717,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.486715934,36.74381934,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.375129199,36.73006172,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.246375273,36.73006172,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.126204942,36.72318198,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.997451016,36.72318198,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.90303147,36.74381934,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.83436271,36.6750066,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.825779115,36.66123666,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.739943164,36.63368938,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.654107214,36.61302246,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
