Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Tunisia,Tunisia,10.51243435,32.42464097,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.22725441,32.46538096,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.555044572,32.50612095,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.719874767,32.56723093,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.269864638,32.68945091,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.903204724,33.07648081,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.862464734,33.44314073,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.455064829,33.48388072,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.10877491,33.68758067,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.821724743,33.91165062,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.943944715,34.38016051,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.799484515,34.72645043,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.94020425,35.33755029,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.47169436,35.11348034,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.453194596,35.31718029,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.903204724,35.31718029,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,22.81591147,32.07835105,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,22.32703158,32.32279099,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,22.08259164,32.07835105,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
